"Name_clean","Name","Count","source","lat","lon","matched_name","in_sweden","county"
"Tranebergsbron","Tranebergsbron.",2,"geonames_unique","59.33354","17.99583","Tranebergsbron",1,"Stockholm"
"Tranebergsbron","Tranebergsbron",12,"geonames_unique","59.33354","17.99583","Tranebergsbron",1,"Stockholm"
"Tranemo","Tranemo",50,"https://www.wikidata.org//wiki/Q501479","57.4833333333333","13.35","Tranemo Municipality",1,"Västra Götaland"
"Trång","Trång",1,"geonames_unique","63.33333","14.06667","Trång",1,"Jämtland"
"Trångfors","Trångfors",9,"geonames_unique","59.63333","16.2","Trångfors",1,"Västmanland"
"Trängslet","Trängslet",6,"https://www.wikidata.org//wiki/Q3375596","61.38","13.73","Trängslet Dam",1,"Dalarna"
"Trängslets","Trängslets",1,"https://www.wikidata.org//wiki/Q3375596","61.38","13.73","Trängslet Dam",1,"Dalarna"
"Trångsviken","Trångsviken",25,"geonames_unique","63.33333","14.01667","Trångsviken",1,"Jämtland"
"Trångsvikens skola","Trångsvikens skola",1,"https://www.wikidata.org//wiki/Q89193263","63.333","14.018","No label defined",1,"Jämtland"
"Trankils","Trankils",1,"https://www.wikidata.org//wiki/Q10701272","59.2818888888889","11.9031944444444","Trankils kyrka",1,"Värmland"
"Transtrand","Transtrand",3,"https://www.wikidata.org//wiki/Q3352868","61.0901769444444","13.31751","Transtrand",1,"Dalarna"
"Trappan","Trappan",2,"https://www.wikidata.org//wiki/Q106575170","57.8698888888889","11.9841530555556","Trappan",1,"Västra Götaland"
"Traryd","Traryd",4,"https://www.wikidata.org//wiki/Q2584179","56.5786369444444","13.7491619444444","Traryd",1,"Kronoberg"
