"county","year","urban_pop_prop","rural_pop_prop","total_population"
"Gotland",1994,0.390099153416327,0.609900846583672,60296.5558013162
"Västmanland",1994,0.679729783914234,0.320270216085766,266000.098402728
"Jönköping",1994,0.557644219670716,0.442355780329284,311699.669310363
"Orebro",1994,0.582963937546638,0.417036062453362,272594.620735275
"Kronoberg",1994,0.461464564668734,0.538535435331266,172556.949516557
"Norrbotten",1995,0.509305668750258,0.490694331249742,257115.831267202
"Västerbotten",1995,0.509715111109798,0.490284888890202,259471.275306244
"Jämtland",1995,0.322813379646896,0.677186620353104,132612.869490243
"Dalarna",1995,0.448330640482906,0.551669359517094,282557.926071603
"Värmland",1995,0.539602184581927,0.460397815418073,282939.071072191
"Västra Götaland",1995,0.65092092138643,0.34907907861357,1464026.67821073
"Västernorrland",1995,0.516178455738721,0.483821544261279,240723.141044504
"Gävleborg",1995,0.509609933191269,0.490390066808731,282752.043937071
"Uppsala",1995,0.578212419624184,0.421787580375816,278861.039106744
"Stockholm",1995,0.896008715126195,0.103991284873805,1683863.65451625
"Södermanland",1995,0.552873156970422,0.447126843029578,252458.713168555
"Östergötland",1995,0.621598308896579,0.378401691103421,409196.458188223
"Kalmar",1995,0.413498718109794,0.586501281890206,238904.916345503
"Blekinge",1995,0.525673200839838,0.474326799160162,137890.84551473
"Skåne",1995,0.674142739696513,0.325857260303487,1064134.3739859
"Halland",1995,0.50068771965794,0.49931228034206,275071.529637311
"Gotland",1995,0.389741724061725,0.610258275938275,59351.7785427815
"Västmanland",1995,0.678854856506855,0.321145143493145,267298.836443764
"Jönköping",1995,0.556854088523406,0.443145911476594,313406.474895714
"Orebro",1995,0.588119590548236,0.411880409451764,274512.649948251
"Kronoberg",1995,0.465643910750287,0.534356089249713,174888.650319272
"Norrbotten",1996,0.509305668750258,0.490694331249742,257115.831267202
"Västerbotten",1996,0.509715111109798,0.490284888890202,259471.275306244
"Jämtland",1996,0.322813379646896,0.677186620353104,132612.869490243
"Dalarna",1996,0.448330640482906,0.551669359517094,282557.926071603
"Värmland",1996,0.539602184581927,0.460397815418073,282939.071072191
"Västra Götaland",1996,0.65092092138643,0.34907907861357,1464026.67821073
"Västernorrland",1996,0.516178455738721,0.483821544261279,240723.141044504
"Gävleborg",1996,0.509609933191269,0.490390066808731,282752.043937071
"Uppsala",1996,0.578212419624184,0.421787580375816,278861.039106744
"Stockholm",1996,0.896008715126195,0.103991284873805,1683863.65451625
"Södermanland",1996,0.552873156970422,0.447126843029578,252458.713168555
"Östergötland",1996,0.621598308896579,0.378401691103421,409196.458188223
"Kalmar",1996,0.413498718109794,0.586501281890206,238904.916345503
"Blekinge",1996,0.525673200839838,0.474326799160162,137890.84551473
"Skåne",1996,0.674142739696513,0.325857260303487,1064134.3739859
"Halland",1996,0.50068771965794,0.49931228034206,275071.529637311
"Gotland",1996,0.389741724061725,0.610258275938275,59351.7785427815
"Västmanland",1996,0.678854856506855,0.321145143493145,267298.836443764
"Jönköping",1996,0.556854088523406,0.443145911476594,313406.474895714
"Orebro",1996,0.588119590548236,0.411880409451764,274512.649948251
"Kronoberg",1996,0.465643910750287,0.534356089249713,174888.650319272
"Norrbotten",1997,0.509305668750258,0.490694331249742,257115.831267202
"Västerbotten",1997,0.509715111109798,0.490284888890202,259471.275306244
"Jämtland",1997,0.322813379646896,0.677186620353104,132612.869490243
"Dalarna",1997,0.448330640482906,0.551669359517094,282557.926071603
